"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1289","test_login_problem_users[problem_user]","tests.login","2026-04-10","passed","2026-04-10","TestLogin","test_login","",""
"","1677","test_add_to_cart","tests.cart","2026-04-10","passed","2026-04-10","","test_cart","",""
"","2362","test_checkout_missing_data[Jan-Test--Error: Postal Code is required]","tests.checkout","2026-04-28","passed","2026-04-28","","test_checkout","",""
"","413","test_login_long_username","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","1531","test_sorting","tests.inventory","2026-04-28","passed","2026-04-28","","test_inventory","",""
"","5584","test_login_problem_users[error_user]","tests.login","2026-04-10","passed","2026-04-10","TestLogin","test_login","",""
"","2742","test_checkout_missing_data[-Test-00-001-Error: First Name is required]","tests.checkout","2026-04-28","passed","2026-04-28","","test_checkout","",""
"","743","test_login_invalid[-secret_sauce-Username is required]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","2750","test_checkout_missing_data[Jan--00-001-Error: Last Name is required]","tests.checkout","2026-04-28","passed","2026-04-28","","test_checkout","",""
"","367","test_login_locked_user","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","2485","test_checkout_missing_data[---Error: First Name is required]","tests.checkout","2026-04-28","passed","2026-04-28","","test_checkout","",""
"","1038","test_cart_page_loads","tests.cart","2026-04-10","passed","2026-04-10","","test_cart","",""
"","1055","test_login_problem_users[visual_user]","tests.login","2026-04-10","passed","2026-04-10","TestLogin","test_login","",""
"","1427","test_inventory_items_have_full_data","tests.inventory","2026-04-28","passed","2026-04-28","","test_inventory","",""
"","6079","Login with valid credentials","tests.login","2026-04-10","passed","2026-04-10","TestLogin","test_login","",""
"","6939","test_login_performance_user","tests.login","2026-04-10","passed","2026-04-10","TestLogin","test_login","",""
"","3134","test_checkout_success","tests.checkout","2026-04-10","passed","2026-04-10","","test_checkout","",""
"","1142","test_remove_from_empty_cart","tests.cart","2026-04-28","passed","2026-04-28","","test_cart","",""
"","797","test_login_invalid[wrong-secret_sauce-Username and password do not match]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","983","test_login_invalid[standard_user-wrong-Username and password do not match]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","952","test_login_invalid[--Username is required]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","529","test_login_invalid[wrong-wrong-Username and password do not match]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","3766","test_e2e_flow","tests.e2e","2026-04-10","passed","2026-04-10","","test_e2e","",""
"","918","test_login_invalid[standard_user--Password is required]","tests.login","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
